pc,delta_in,type,delta_out
140443297433900,-288195339852,0,20
140443297433920,20,0,-9728
140443297424192,-9728,0,-81728
140443297342464,-81728,0,-14368
140443297328096,-14368,0,32
140443297328128,32,0,64
140443297328192,64,0,288195445888
140443297328195,288195445888,2,-288195351280
140443297422800,-288195351280,0,-94544
140443297328256,-94544,0,124064
140443297328261,124064,1,-123928
140443297328392,-123928,0,56
140443297328448,56,0,64
140443297328512,64,0,64
140443297328576,64,0,288195445632
140443297328572,288195445632,1,144
140443297328579,144,1,-288195445712
140443297328640,-288195445712,0,288195445904
140443297328656,288195445904,1,-288195445344
140443297329200,-288195445344,0,16
140443297329216,16,0,120
140443297329336,120,0,8
140443297329344,8,0,288195445144
140443297328572,288195445144,1,-288195445586
140443297328902,-288195445586,0,13126
140443297342028,13126,0,-565
140443297341463,-565,0,41
140443297341504,41,0,-10272
140443297331232,-10272,0,32
140443297331264,32,0,42560
140443297373824,42560,0,-42496
140443297331328,-42496,0,77
140443297331405,77,0,2237627
140443297331414,2237627,1,-2237488
140443297331544,-2237488,0,40
140443297331584,40,0,64
140443297331648,64,0,288195441912
140443297353961,288195441912,2,-80
140443297353996,-80,2,-288195356964
140443297416516,-288195356964,0,288195356916
140443297423169,288195356916,2,-288211992080
140443297354087,-288211992080,2,672
140443297354107,672,2,462
140443297433775,462,2,-30
140443297354149,-30,2,-172
140443297354576,-172,2,-84
140443297354286,-84,2,16572232
140443297354432,16572232,0,384
140443297354816,384,0,-108
140443297354708,-108,0,-16572716
140443297331680,-16572716,2,16549720
140443297331712,16549720,0,64
140443297331776,64,0,64
140443297331840,64,0,109
140443297331949,109,0,19
140443297331968,19,0,112
140443297332080,112,0,16
140443297332096,16,0,64
140443297332160,64,0,288195441088
140443297332158,288195441088,2,-288195441015
140443297332233,-288195441015,0,231
140443297332464,231,0,16
140443297332480,16,0,64
140443297332544,64,0,64
140443297332608,64,0,288195440632
140443297332621,288195440632,2,-288195440568
140443297332672,-288195440568,0,400
140443297333072,400,0,90320
140443297423392,90320,0,-90272
140443297333120,-90272,0,64
140443297333184,64,0,-448
140443297332736,-448,0,64
140443297332800,64,0,72
140443297332872,72,0,56
140443297332928,56,0,101312
140443297434240,101312,0,-16656208
140443297434271,-16656208,2,2016
140443297434279,2016,2,16654256
140443297434304,16654256,0,-16654288
140443297434301,-16654288,2,-1904
140443297434330,-1904,2,128
140443297434330,128,2,128
140443297434330,128,2,128
140443297434330,128,2,128
140443297434330,128,2,128
140443297434330,128,2,128
140443297434330,128,2,128
140443297434330,128,2,128
140443297434330,128,2,128
140443297434330,128,2,128
140443297434330,128,2,128
140443297434330,128,2,128
140443297434330,128,2,128
140443297434330,128,2,128
140443297434330,128,2,16553088
140443297332992,16553088,0,352
140443297333344,352,0,32
140443297333376,32,0,-16557368
140443297333383,-16557368,1,16557432
140443297333440,16557432,0,-16551952
140443297333457,-16551952,2,88
140443297333457,88,2,-5440
140443297333465,-5440,1,16557368
140443297333504,16557368,0,956
140443297334460,956,0,4
140443297334464,4,0,-16558200
140443297333465,-16558200,1,128
140443297333465,128,1,5376
140443297333457,5376,2,-72
140443297333457,-72,2,16552032
140443297333728,16552032,0,32
140443297333760,32,0,64
140443297333824,64,0,64
140443297333888,64,0,883
140443297334771,883,0,-819
140443297333952,-819,0,70
140443297334022,70,0,58
140443297334080,58,0,64
140443297334144,64,0,-18821520
140443297353648,-18821520,1,18821584
140443297334208,18821584,0,64
140443297334272,64,0,84160
140443297418432,84160,0,-54848
140443297363584,-54848,0,-68074446
140443297431843,-68074446,1,288263485766
140443297341014,288263485766,2,-288195346168
140443297428736,-288195346168,0,-1280
140443297427456,-1280,0,10556
140443297424401,10556,1,-11836
140443297426176,-11836,0,-960
140443297425216,-960,0,-18902640
140443297425224,-18902640,1,18902704
140443297425280,18902704,0,64
140443297425344,64,0,-16538836
140443297403397,-16538836,1,191461
140443297402819,191461,1,-181765
140443297403397,-181765,1,208615
140443297402819,208615,1,-213463
140443297403397,-213463,1,199940
140443297402819,199940,1,-202364
140443297403397,-202364,1,195049
140443297402819,195049,1,-196273
140443297403397,-196273,1,193217
140443297402819,193217,1,-192617
140443297403397,-192617,1,194061
140443297402819,194061,1,-194373
140443297403397,-194373,1,193528
140443297402819,193528,1,-193672
140443297403397,-193672,1,193453
140443297402819,193453,1,-74
140443297402819,-74,1,16247473
140443297328704,16247473,0,-16546072
140443297354087,-16546072,2,672
140443297354107,672,2,459
140443297433775,459,2,-27
140443297354149,-27,2,-172
140443297354576,-172,2,-84
140443297354286,-84,2,-208
140443297331680,-208,2,288211989904
140443297423169,288211989904,2,-288214265008
140443297434271,-288214265008,2,120
140443297434279,120,2,-880
140443297333383,-880,1,2275360
140443297333457,2275360,2,88
140443297333457,88,2,-2275336
140443297333465,-2275336,1,128
140443297333465,128,1,128
140443297333465,128,1,2275272
140443297333457,2275272,2,-72
140443297333457,-72,2,16552240
140443297335216,16552240,0,-20936096
140443297353648,-20936096,1,288216375720
140443297341017,288216375720,2,-288216374030
140443297424298,-288216374030,1,4492970
140443297403397,4492970,1,203283
140443297402819,203283,1,-204507
140443297403397,-204507,1,201634
140443297402819,201634,1,-201034
140443297403397,-201034,1,202468
140443297402819,202468,1,-202156
140443297403397,-202156,1,202994
140443297402819,202994,1,-56
140443297402819,-56,1,16232642
140443297329048,16232642,0,106696
140443297329048,106696,1,288195338912
140443297328656,288195338912,1,-288211990760
140443297354087,-288211990760,2,672
140443297354107,672,2,458
140443297433775,458,2,-26
140443297354149,-26,2,-356
140443297354179,-356,1,184
140443297354576,184,2,16547460
140443297332288,16547460,0,288195440720
140443297332158,288195440720,2,-288211988088
140443297332318,-288211988088,2,16547432
140443297332352,16547432,0,49424
140443297381776,49424,0,288195391208
140443297423169,288195391208,2,-288216392728
140443297434271,-288216392728,2,1936
140443297434279,1936,2,-1840
140443297434330,-1840,2,128
140443297434330,128,2,128
140443297434330,128,2,128
140443297434330,128,2,128
140443297434330,128,2,128
140443297434330,128,2,128
140443297434330,128,2,128
140443297434330,128,2,128
140443297434330,128,2,128
140443297434330,128,2,128
140443297434330,128,2,128
140443297434330,128,2,128
140443297434330,128,2,128
140443297434330,128,2,-9152
140443297333383,-9152,1,4411168
