pc,delta_in,type,delta_out
139859331913340,872734365896,2,-872734365880
139859331913344,-872734365880,0,872734365808
139859331913355,872734365808,2,-88
139859331913385,-88,2,-872734365656
139859331913408,-872734365656,0,64
139859331913472,64,0,73
139859331913545,73,0,55
139859331913600,55,0,64
139859331913664,64,0,872734461960
139859331913661,872734461960,1,-872734461880
139859331913744,-872734461880,0,48
139859331913792,48,0,283
139859331914075,283,0,37
139859331914112,37,0,112
139859331914224,112,0,872734364784
139859331914158,872734364784,2,-872732169760
139859331978054,-872732169760,1,-2195008
139859331914240,-2195008,0,64
139859331914304,64,0,64
139859331914368,64,0,911
139859331915279,911,0,-838
139859331914441,-838,0,55
139859331914496,55,0,2203840
139859331914528,2203840,2,-2203776
139859331914560,-2203776,0,64
139859331914624,64,0,64837
139859331979461,64837,0,6191
139859331979461,6191,1,2132813
139859331979469,2132813,2,-2203777
139859331914688,-2203777,0,64
139859331914752,64,0,64
139859331914816,64,0,2203592
139859331914820,2203592,2,-2203528
139859331914880,-2203528,0,64
139859331914944,64,0,64
139859331915008,64,0,88
139859331915096,88,0,-1052
139859331914044,-1052,0,2195460
139859331885771,2195460,2,-2223680
139859331885824,-2223680,0,64
139859331885888,64,0,2232672
139859331885900,2232672,2,-2232608
139859331885952,-2232608,0,93904
139859331979856,93904,0,2138744
139859331979892,2138744,2,-2232584
139859331886016,-2232584,0,95479
139859331886020,95479,1,2137161
139859331886045,2137161,2,-2137134
139859331886020,-2137134,1,2137198
139859331886025,2137198,2,80
139859331886025,80,2,48
139859331979892,48,2,-2232768
139859331886080,-2232768,0,2229328
139859331886095,2229328,2,-2229264
139859331886144,-2229264,0,104
139859331886248,104,0,24
139859331886272,24,0,264
139859331886536,264,0,32824
139859331919360,32824,0,88
139859331919448,88,0,-53720
139859331865728,-53720,0,64
139859331865792,64,0,-15500
139859331865806,-15500,1,15564
139859331865856,15564,0,-15216
139859331865899,-15216,1,15318
139859331865958,15318,0,2248930
139859331865962,2248930,2,-2248904
139859331865984,-2248904,0,2248856
139859331865980,2248856,1,-2248792
139859331866048,-2248792,0,61648
139859331927696,61648,0,2187504
139859331927705,2187504,1,-2249088
139859331866112,-2249088,0,53232
139859331919344,53232,0,-53124
139859331866220,-53124,0,102372
139859331968592,102372,0,-102352
139859331866240,-102352,0,64
139859331866304,64,0,42400
139859331908704,42400,0,32
139859331908736,32,0,64
139859331908800,64,0,2976
139859331911776,2976,0,-2836
139859331908940,-2836,0,52
139859331908992,52,0,2136
139859331911128,2136,0,-2072
139859331909056,-2072,0,64
139859331909120,64,0,235
139859331909355,235,0,-171
139859331909184,-171,0,68288
139859331977472,68288,0,-68142807
139859331977507,-68142807,1,68142871
